a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
a, 1, 0
b, 1, 1
c, 1, 1
d, 2, 0
e, 2, 1
f, 2, 0
k, 3, 1
m, 3, 0
n, 3, 1
g, 4, 0
j, 4, 1
